num,conv1,conv2,conv3,conv4,conv5,conv6,conv7,conv8,conv9,conv10,conv11,conv12,conv13,classification,,,,,,,,,,,
146,삼촌이 데이터를 보내줬어 이제 집중해,네!,"작업: 구매감서(빨간색) 데이터: 90S 금액: 30000USDT 너는 먼저 내가 말한 데이터에 따라 클릭을 잘 하고, 내가 ㅏ곧 구매한다고 말할 때 우리는 다시 구매한다",클릭해서 캡처해서 보내주세요,,,,,,,,,,yes,,,,,,,,,,,
147,가상계좌를 신청합니다.,"안녕하세요, 잠시만요, 제가 지금 가상 게좌를 신청해 드릴게요.",이계정은 귀하를 위한 가상 계좌압니다.,,,,,,,,,,,yes,,,,,,,,,,,
148,나지금 준비 됐어 어떤것부터 하면 될까?,"우선 내가 먼저 플랫폼의 링크를 너에게 보낼테니, 너는 고객센터에 가서 가상 계좌를 신처해라. 못 찾으면 들어가서 캡쳐해줘",부탁할께,이 거래서 앱부터 깔아주세요,네,,,,,,,,,yes,,,,,,,,,,,
149,"네, 금요일에 저도 마침 별일 없었어요. 일주일을 마무리하는 마지막 날이기 때문에 내일과 모레 저녁에 나는 충분한 시간이 있다. 그러나 이 데이터는 매일 있는 것이 아니다. 삼촌의 시세 데이터를 기다려야 한다. 만약 금요일에 데이터가 있다면 나는 너에ㅔㄱ 통지할 것이다. 만약 금요일에 없다면 우리는 아마다ㅗ 토요일로 연기될 것이다. ",이해했어!. 고마워 혹시라도 내일 일직들어오게 되면 미리 연락주렉 현물거래 사이트는 아무사이트나 상관없는거야? 예전에 쓰던 사이트가 있었거든 한번찾아볼까?,이런거래는 미국에서만 출시 될 수 있다. 제가 지금 사용하고 있는 거래 사이트를 먼저 시도해 볼 것을 제안합니다. 그러면 제가 가르쳐 드리는 것도 편리할 것입니다. 저도 아직 한국의 거래 사이트를 사용한적이 없기 때문에 한국의 거래 사이트에 이런 거래 모델이 있는지 모르겠습니다.,,,,,,,,,,,yes,,,,,,,,,,,
150,"이 거래는 50000달러의 원금을 투입했지만, 결과적으로 나를 위해 7500달러의 이윤을 벌었따",진짜로? 그렇게 쉽게 돈을 벌 수 있는거야?,"없어, 사실 나도 내 삼촌이 준 데이터 덕분에 이 수준에 도달했어! 만약 내가 가진 데이터럼 있다면 너도 분명히 이 수준에 다다를 수 있지 않겠지?",,,,,,,,,,,yes,,,,,,,,,,,
151,Will you keep a secret?,Yeah sure,"Because he will tell me next week that there is a stock with better returns, he asked me to sell it in advance",Ik understood.,But can you byu American stocks in your account?,Yes It's available here.,Which securities company's stock account do you use?,,,,,,,yes,,,,,,,,,,,
152,우리 삼촌이 보기에는 우리가 버는 돈이 아주 적다 ㅠㅠ,"저는 그래프를 봐도 몰라요 언제 상승할지, 언제 하락할지",그러니 우리는 삼촌이 준 기회를 더욱 붙잡아야해 ~^^,,,,,,,,,,,yes,,,,,,,,,,,
153,오바 저는 거래소에서 코인을 사서 매일 5% 수익을 보고 있어요,어제도 200만원 정도 벌었어요~,우와 대단하다,내친구는 이곳에서 거래해서 5천만원 넘게 벌었어요 ,오빠도 더많이 벌어서 우리 여행가요,,,,,,,,,yes,,,,,,,,,,,
154,보내주시면 전표 또는 지불 전표를 보내주십시오. 관리자가 오후에 알맞은 시간에 외교관을 보내기로 동의하기 전에 매니저에게 요청할 것입니다. ,움직일 수 없어 너가 사람보내 다른사람 못믿어,내 사랑은 나를 믿는다. 문제는 단지 10.000.000이다. 한국은 나를 믿는다.,,,,,,,,,,,yes,,,,,,,,,,,
155,이렇게 하는게 내 투자 방식인데 어때?,우와 정말 수익이 났네??,응 너도 할 수 있어,와 나도 수익이 났어 출금하면 되는거지?,응!! 출금되면 추가 증거금을 넣어서 더 큰 수익을  내보자,,,,,,,,,yes,,,,,,,,,,,
156,"나 투자해서 서울강남에 40억원대 아파트도 소유하고 있고, 카페도 운영중이야 같이 투자 공부해볼래?",헐 대박이다 너 믿음이 가는데? ㅋㅋ,여기가 투자 사이트야 아마 통장이 이건데 여기에 투자금 보내,아 고마워,,,,,,,,,,yes,,,,,,,,,,,
157,빨리 300만원을 보내주세요.,나도 너를 돕고 싶지만 나는 그만큼의 돈이 없어,당신 때문에 내가 아테네에서 죽어가고있다. 나한테 무슨일이 일어나도 문제 없는거지?,넌 날 버렸어,,,,,,,,,,yes,,,,,,,,,,,
158,한국에 정착해서 사랑하는 사람도 만나고 가족도 만들고 싶어요...,좋은 꿈인거 같아,당신이 내 희망이자 나를 꺼내줄 수 있는 유일한 사람이에요!!,정말 고마워요 ㅠㅠ,,,,,,,,,,yes,,,,,,,,,,,
159,오빠 우리 아버지 아는분이 미국 유명 투자회사 펀드매니저로 일하고 있거든 그래서 요즘 유튜브로 투자 잘하는 방법을 강의하셔,아 진짜? 오멋지다,사실 나도 이렇게 공부해서 수익류류 200% 넘었는데 오빠도 관심있으면 같이 투자 공부해 볼래?,,,,,,,,,,,yes,,,,,,,,,,,
160,저는 노르웨이에 살고있는 28살 남자입니다.,네 안녕하세요,이 사이트에서 저 대신 포인트 환전을 부탁드리겠습니다.,저 사이트에서요? 직접하시면 되잖아요,여자만 가능한 일 입니다. 부탁드려도 될까요?,,,,,,,,,yes,,,,,,,,,,,
161,안녕하세요! 일본에 살고있는데 친구가 필요해서요,아 일본인이시군요?,네네 7월달에 한국여행 계획이 있는데 항공료를 빌려 주실수 잇으실까용??,,,,,,,,,,,yes,,,,,,,,,,,
162,오빠 나 쇼핑몰하는데 투자해볼래?,응? 투자?,어 온라인몰에서 여성 의류 판매하는데 판매액 20%수수료를 얻고 잇어 같이 투자해보자!!,,,,,,,,,,,yes,,,,,,,,,,,
163,한국 정착자금이 담긴 상자를 물류 회사로 보냈는데 현지 배송비 대리 납부가 필요합니다. 확인시 연락주세요,,,,,,,,,,,,,yes,,,,,,,,,,,
164,도쿄에서 꽃집을 운영하고 엄마랑 둘이 함께 살고잇어요,아 정말요? 꽃집 너무 이쁘겠어요,9월말에 한국여행을 갈꺼에요!!! 그리고 투자하고 있는 사람이 있어요 함께하실래요?,아 투자는 조금..,아니예요 함께해봐요!! 투자!!,10만원만 먼저 해볼까요? ,오 수익이 꽤 있네요??? 그 사이트에 돈을 더 넣을께요,,,,,,,yes,,,,,,,,,,,
165,안녕하세요 진호씨 임사장님께서 저에게 연락해보라고 하셔서 연락드려요 지금 시간 괜찮으세요?,진호씨가 아니라서 제가,죄송해요 연락드려서 불편을 드렸네요 제가 번호를 잘못 저장했어요~~,네~,실례가 되었을까봐 죄송해요 부디 너무 신경쓰지 않으셨으면 좋겠어요,ㅎㅎ,저는 수출무역 일을해서 라인을 자주 사용해요 혹시 님도 수출무역쪽에서 일을 하고계신가요?,,,,,,,yes,,,,,,,,,,,
166,친해지고 싶어요!! 싱가포르에서 왔어요,친해져용,Ai코인 투자 하고 있는데 너무 좋아,그게 뭐야?,이거랑 이거 깔아봐 그럼 내가 알려줄께,,,,,,,,,yes,,,,,,,,,,,
167,오빠 나 투자 하는데 같이 해볼래?,응? 무슨투자?,비트코인 투자 나랑 함께하자,,,,,,,,,,,yes,,,,,,,,,,,
168,"내 사랑, 돈이 문제야. 한국에 돌아올 때까지 내 계정에 접근할 수 없어",아 그렇구나 민준씨도 돈이 묶였나봐,하지만 한국에 돌아오면 접근할 수 있을거야,아 그렇구나... 나도 병원비가 절박해서,내가 지금 한국에 있었다면 돈으로 당신을 도와줬을 텐데,,,,,,,,,yes,,,,,,,,,,,
169,안녕하세요. 이라크에서 의사로 일하고 있습니다. 전쟁이 났는데 전역하려면 장군에게 돈을 줘야합니다. 한국에 가면 돌려줄테니 돈을 보내주세요.,,,,,,,,,,,,,yes,,,,,,,,,,,
170,저는 싱가포르 사람이고 우리아빤 부천에 살아요. 여기 정리하고 부천갈꺼예요. 어디살아요? 친구해요,아 진짜요?,제 사업체에서 운영하는 사이트에서 셀러로 활동해봐요. 그리고 제가 한국가면 더 큰일 같이 해보아요!!,저 하루 3천달러 벌어요,와 진짜?,,,,,,,,,yes,,,,,,,,,,,
171,"네, 최근 몇년 동안 환율 변동의 영향으로 회사의 이익이 신통치 않아 회사 수익만으로는 많을 돈을 벌기 어렵습니다. 현재는 주로 투자가 추가 수익을 올리고 있는데 HFT펀드가 안정적이어서 좋은 수익을 내고 있습니다. 내 목표는 마흔 살 이전에 부의 자유를 실현하고 조기 은퇴하는 것인데 더 노력해야 합니다 ^^",수익으로 얼만큼의 이익을 취하셨습니까?,,,,,,,,,,,,yes,,,,,,,,,,,
172,"오랜만입니다, 저는 5/31에 한국에 옵니다. 연락드리려고 했는데 못찾겠어요 나의 LINE: @@@",,,,,,,,,,,,,yes,,,,,,,,,,,
173,출금계좌등록된 회원분들만 입장가능하구요 출금계좌등록하실려면 실버회원등급부터 가능합니다.,실버등급 코인결제로 구매하실시 보유중인 코인에서 30만 코인 차감되고 등급승급됩니다. 등급 승급후 실버등급구매코인30만코인 다시 계정으로 들어오십니다.,아이템샴 들어가셔서 실버등급 구매신청만하시고 계좌입금하지마시구요 고객센터로 말씀주세요 코인으로 등급 승급해드릴께요,회원 탈퇴나 시켜주세요,코인보유회원은 회원탈퇴 안되십니다 고객님,,,,,,,,,yes,,,,,,,,,,,
174,계좌연동햇어,거기서 엔에프티 구매하는 거 잊지망,여기서 사는 거 아니야?,아니야!! 저희 거래방식은 장기보유 거래를 하지 않고 조각을 구매하는 방식으로 실시간 거래가 이루어집니다. 장기보유위험이 높다.,그럼 어디서 거래하는건데?,신규유저라서 코인을 옮길려면 72시간을 기다려야해 우선 너가 충전이 완료되면 나에게 알려줘 72시간을 기다린 후에 해외 조각 거래 시장에 코인을 옮겨서 조각을 사서 거래하는 방법을 알려줄게,,,,,,,,yes,,,,,,,,,,,
175,1천만원 포인트 넣어드렸습니다. 확인해주세요,사이트가 안들어가져요,아 저희가 등급을 올려야해서 등급 올리셔야지 환전이 됩니다.,아 네 ,,,,,,,,,,yes,,,,,,,,,,,
176,쇼핑몰 등록하실려면 가입해주셔야해요,네네,"판매로 전환하실거면 신분증 촬영해서 보내주시고, 인증되시면 판매가능합니다.",그리고 주문 처리하실땐 충전식으로 하셔야합니다.,,,,,,,,,,yes,,,,,,,,,,,
177,대만에서 왔어요 투자해서 큰 돈을 벌고있고 당신을 제가 도와주고 싶어요.,무슨 투자요?,양방향 매매 가르쳐줄께요. 사이트 줄께요,,,,,,,,,,,yes,,,,,,,,,,,
178,오빠 나 방송하는데 구경할래?,헐 진짜? 너무 좋아,근데 코인있어야지 볼 수 잇덩,계정하나파서 30만 입금해성 다이아 등급으로 업해줭,,,,,,,,,,yes,,,,,,,,,,,
179,힐링펫라이프 애견출장전문미용 업체에서 일하고 잇어용,아 진짜요? 출장인가요?,"네, 예약비랑 보험비 주시면 날 잡고 출장준비 하겠습니다",,,,,,,,,,,yes,,,,,,,,,,,
180,누나 나랑 금융관련 스터디할래?,우리 아버지 지인이 외국계 금융사 다녀서 같이 하면 좋을 것 같아성,아... 금융스터디 쪽은 내가 관심이 없어서.. ㅎㅎ,아 구랭 뭐 ,,,,,,,,,,yes,,,,,,,,,,,
181,회원권 만들어야해!! 25000원 입금해줘,그럼 우리 23일날 만나장,앗 그랭그랭 23일??,웅,,,,,,,,,,yes,,,,,,,,,,,
182,아 오빠 그러면 나 코인 아는거 있는데 백서 받을래?,아 구래? 근데 투자는 못할 것 같아,,,,,,,,,,,,yes,,,,,,,,,,,
183,원나잇 사이트에 계좌 출금 잘못해서 동결됐어,헐 어떢해,근데 1600만원 들어가 잇어 빼내려면 1600 가져와서 3200만원 빼야된데,,,,,,,,,,,yes,,,,,,,,,,,
184,나 집에서 홈트도 하고 유튜브도 보고 가끔 방송도 하고 그랭 ㅎㅎ,엥 방송? 어디서?,위나비 금방 오픈한 거라서 검색하면 안 나올수도 있을걸 ㅎㅎ,엥 금방 오픈해도 상호 법적으로 사이트명시해야하는데,,,,,,,,,,yes,,,,,,,,,,,
185,잠깐만 나 방송중에 잘못보냈어 와 300만개 보냇어,오 그럼 어떻게 해요?,헐... 너 라방 입장해서 누나한테 다시보내줘 ㅠㅠ 그거 두달 동안 모은거란 말이야,넵,미치겟네 ㅠㅠ,부탁할게ㅜㅜ 문의해밧어?? 라방 입장햇어? 안되면 물어바 코인 300잇다고,,,,,,,,yes,,,,,,,,,,,
186,이거봐바 ,방은 너이름으로 정할게 들어오면 되,,,,,,,,,,,,yes,,,,,,,,,,,
187,1: 매일여유시간을 충분히 가지기 2: 필수 한국 국적의 사람 3: 한국은행 계좌에서 월급을 받고 있습니다. 4: 만 20-50세 이상이어야 함 5: 귀하의 은행 계좌의 일일 이체한도 업무상의 필요 때문에 위의 다섯가지 조건을 만족하셔야 합니다 위의 기준에 부합하십니가?,부합합니다.,제가 지금 당신에게 업무 내용과 급여를 소개해 드리겠습니다.,,,,,,,,,,,yes,,,,,,,,,,,
188,어떻게 하면되나요,현재 사이트 업그레이드 및 보안 간ㅇ화로 인해 다이아 등급 및 출금계좌 등록된 회원님만 라이브 시청 및 선물보내기 가능하게 되어있습니다.,지금 회원님 등급 확인해보니 일반등급으로 확인되시는데 우선 다이아레벨로 등업하셔야합니다.,현재 회원님께서 다이아 보유하고 계시죠?,네,지금 이벤트기간이라 회원님께서 기존 보유하고 있던 다이아로 다이아 레벨 구매시 50만원에서 보유 다이아 30만차감 즉 20만원을 지불해주시면 등업가능합니다.,,,,,,,,yes,,,,,,,,,,,
189,이 사이트에서 등업해서 ,환전해줄 수 있어?,,,,,,,,,,,,yes,,,,,,,,,,,
190,"I suvmitted my designs to the board of directors and they like my designs im so happy, iwill be waiting for they respond anytime from mow",That's pretty nice,I just wish the company will contact me immediately for the contract,It will be,I was felling so nervous when Iget to the zoom meeting. The results day of the contract should be today but I haven't received an email from the Italian company yet.,,,,,,,,,yes,,,,,,,,,,,
191,나 몰라? 너 최수빈아니야?,난 최수빈이 아닌데,내가 번호를 잘못 입력했나봐... 어색하네,괜찮아 우리 친구가 될 수 있을 거 같은데,,,,,,,,,,yes,,,,,,,,,,,
192,나 인방하는데 구경할랭?,웅,아 오빠 내가 오빠하나테 돈 잘못보내서 돌려줘야 할 거 같아,등급올리고 환전하면되는데 세탁비도 줘야해,,,,,,,,,,yes,,,,,,,,,,,
193,고객님 최대한 빠르게 해결하셔야 됩니다. 현재 해외 증권사 측에서 요청하시니 부분이기에 빠르게 해결진행 안되실시 고객님 앞으로 조사가 들어갈수있고 시간이 지체되면서 저희 출금계좌가 거래정지 될수도 있습니다.,고객님 지금 저희는 고객님한테 피해안가게 도와드릴려고 말씀드리는겁니다.,거래정지되면 지금 저희 출금계좌돈 3억 묶여잇는 상황인데 그렇게 되면 저희쪽에서는 이금액을 전부 고객님 앞으로 배상청구 진행을 할수밖에 없습니다.,,,,,,,,,,,yes,,,,,,,,,,,
194,오빠 언제 입금했어요,30분전에요.. 근데 잠시만요 인출을 할려면 20%돈이 더 필요하다고 해요 뭐죠?,오빠 캡쳐해서 보내줘도 돼,아뇨 미유씨추천하나 사이트가 아니라서.. 이거 없으면 저 거지되요ㅠㅠ,6천만원을어디서 구하죠?,오빠 30분전에 입금캠쳐해서 보내줄수 있어?,,,,,,,,yes,,,,,,,,,,,
195,아니면 너가 받을수있는지 확인해볼래? 받을 수 있으면 사례그밍라도 조금 챙겨줄게,내가?,응..,팬더곰하이즈? 첨들어 보는데,,,,,,,,,,yes,,,,,,,,,,,
196,미용실 관리하는 일 하는데 부업으로 호텔 관련된 일 하고잇어,한 번만 일 도와줄 수 있어?,저기 사이트에서 아이디 만들면 달러보내주니까 환전해서 커피 값 해,,,,,,,,,,,yes,,,,,,,,,,,
197,안녕하세요 지금 자동차 브랜드 주문이 있나요?,"잠시만요, 지금 조회해드릴게요.",안녕하세요 조회해보니 현재 500달러가 넘는 자동차 주문이 있는데 충전하실 급액은 얼마인가요?,,,,,,,,,,,yes,,,,,,,,,,,
198,일부분의 이윤이 생겨서 저희 회사와 매니저 회원님 모두 win-win하는 결과입니다,매번 인증을 완료하시면 포인트를 전부 출금하실 수 있어요,1번데이터를 선택 시 인증 비용은 18만원이지만 이증 완료후 즉시 19만 8천원이 환불됩니다.,,,,,,,,,,,yes,,,,,,,,,,,
199,나 돈벌 방법있는데 들어볼래?,웅,플레이스토어에 있는 마켓뷰를 다운받아,,,,,,,,,,,yes,,,,,,,,,,,
200,나 라이브 방송하는데 초대해줄께,근데 방입장에 돈들거든? 내가 보내줄께,아 30만원 보낼거 실수로 300만원 보냈어 다시 돌려줫음 좋겟는데 과정이 vip등급도 달아야해,,,,,,,,,,,yes,,,,,,,,,,,
201,당신의 하루가 하늘의 무지개처럼 사랑스럽기를 바랍니다. 당신의 삶의 모든 순간이 웃음으로 가득 차기를 바랍니다. 좋은 아침이에요,,,,,,,,,,,,,yes,,,,,,,,,,,
202,[국외발신] 실습 간호사 박미혜에요 21살 근처고 5만원이면 저랑 연애 하실수있어요 제 라인은:ka72f,,,,,,,,,,,,,yes,,,,,,,,,,,
203,"저는 한국에 살고 있는 일본 여성입니다만, 당신을 모릅니다! 실례지만 당신은 저를 아십니까?","나는 네가 나를 아는 친구라고 여겼다. 당신이 제 텔레그램 친구 목록에 있어서 누군지 궁금해서 인사드렸습니다^^죄송해요, 방해가 되지 않았으면 좋겠어요!",,,,,,,,,,,,yes,,,,,,,,,,,
204,"안녕하세요, 한소정입니다. 우리는 지금 온라인 아르바이트 직원을 모집하고 있습니다. 업무 내용은 매우 간단합니다, 당신은 한 푼도 쓸 필요가 없습니다. 1일 최저임금 : 10만원. 실제 채용은 가짜가 아닙니다. 당신은 이 일에 흥미가 있습니까?",네,"당신의 회신을 받게 되어 매우 기쁘지만, 당신의 직업과 급여를 소개하기 전에, 저는 당신에게 일에 대한 기본적인 정보를 확인해야 합니다. ",,,,,,,,,,,yes,,,,,,,,,,,
205,이상형이뭔뎅,이상형 없습니다 누군가 저를 먼저 좋아해주는 사람?,앗 사진더보여저방,죄송하지만 오늘 처음 연락한 사람 제 사진을 까고 싶지 않아요,푸핳 그럼못친해지겟네 나랑,솔직히 누가 처음본 사람 한데 함부로 얼굴사진을 보내고 그러나요,아직은 아닌거 같아요.......,그래도 먼저 팔로우 해주시고 연락해주신건 감사드려,,,,,,yes,,,,,,,,,,,
206,안녕하세요,김천애예요,당신은 일본 사람입니까?,,,,,,,,,,,yes,,,,,,,,,,,
207,현재 사이트 업그레이드 및 보안 강화로 인해 다이아 등급 및 출금계좌 등록된 회원님만 라이브 시청 및 선물보내기 가능하게 되었습니다.,지금 회원님 등급 확인해보니 일반등급으로 확인되시는데 우선 다이아레벨로 등업하셔야합니다.,현재 회원님꼐서 다이아보유하고 계시죠?,지금 이벤트기간이라 회원님꼐서 기존 보유 하고있던 다이아로 다이아 레벨 구매시 50만원에서 보유다이아30만차감 즉 20만원을 지불해주시면 등업가능합니다.,,,,,,,,,,yes,,,,,,,,,,,
208,나 똑똑하지 ㅋㅋㅋ,ㅋㅋㅋ 응 ,업비트 계좌연동했어,업비트에서 엔에프티 구매하지 않는거 잊지마!~, 업비트에서 사는거 아니야?,아니야!! 업비트는 NTF만 완전해 저희 거래방식은 장기보유 거래를 하지 않고 조각을 구매하는 방식으로 실시간 거래가 이루어집니다. 장기보유위험이 높다,그럼 어디서 거래하는건데?,동생이 신규 유저라 코인을 옮기려면 72시간을 기다려야 해요~ 우선 너가 충전이 완료되면 나에게 알려줘 72시간을 기다린 후에 해외 NFT 조각 거래 시장에 코인을 옮겨서 NFT 조각을 사서 거래하는 방법을 알려줄게,어제 동생한테 한 말 잊었어?,사이트 회원가입하는거야?,그러니까 그 사이트가 어디냐 이말이지,,,yes,,,,,,,,,,,
209,오늘은 누나 사진 없나...? ㅎㅎ 보구싶은데,"너와 언니가 친구가 된 이유가 언니의 사진을 보려고 하는 거라면, 더 이상 나에게 메시지를 보내지 마.","는 진실하고 선한 사람을 좋아해요. 그런데 당신은 계속 내 사진을 요구해서 굉장히 불쾌하고, 불편해요.","제가 이미 말씀드렸잖아요. 당신이 자주 사진을 공유하면, 저도 자주 공유할거라고요. 당신이 제가 하는 말을 이해하지 못하나요?",미안해요 진정해요 ,당신이 예뻐서 그랬어요,내가 예쁘다고 매일 사진을 보내야 할 의무가 있나요?,그럴 의무는 없는데 그냥 제가 너무 보고 싶었어요,조금 진정해주시겠어요? 제가 잘못했어요,오류를 개선할 수 있기를 바랍니다.,알겠습니다.,,,yes,,,,,,,,,,,
210,추천인으로 초대했어,추천인 코드가 뭐야,JHzttE,여기 그리고 방제는 민지야,방송방 들어왔어?,아니,사이트 존나 수상하다,잉?,방송방 들어왔어?,됐다,닉네이 뭐야?,안들어간다,,yes,,,,,,,,,,,
211,오늘도 공부하는거야?,오늘은근데,지금 집에 가고있어ㅋㅋㅋㅋ,아 난 답답하구 골치아파미치겠어 귀국전에도 아빠가 또 이렇게 날 속썩이는구나 하ㅠ,왜 ,무슨일이야?,그게 하,"내가 작년에 취직전에 집안사정때메 잠깐 방송플랫폼에서 했었거든 ,,,",근데 금요일까지 지금 저기서 앱출시한다면서 정산처리 들어간다는데. 회원정도랑 안에코인이랑 싹다 정리는 한대서 지금 빼가라는데 못빼고있어ㅠㅠㅠ,아빠가 하ㅜㅜㅜ 이말은 민망해서 어케할지..,아,,,yes,,,,,,,,,,,
212,you are the one i love.,I love you so much,"yeah, I think so, too",Do you love me. ,you make me too shy :),you are my happiness. I love you,,,,,,,,yes,,,,,,,,,,,
213,주로 어느 코인을 보유하시는가요.,지난달 BTC가 3만 5000달러 넘게 폭등해 23만 달러 가량을 벌어들였습니다.,저는 동전을 오래 가지고 있지 않습니다. 단지 외삼촌이 제공한 정보에 근거하여 단기 거래를 할 뿐입니다.,,"와우, 우리 동네 아파트 한 채를 벌었네요. 프로이십니다.",코인 특성상 단기거래가 옳긴하죠. 믿을 만하 리딩만 있으면 금상천화죠,"월가에서 35년간 근무한 외삼촌은 10년 넘게 암호화폐르 ㄹ연구하고 있고, 외삼촌은 전문 암호화폐 분석팀을 꾸렸는데 그중에는 세계 각지에서 온 엘리트들이 있습니다 전문적인 일을 전문적인 사람에게 맡깁니다.","와, 좋은 정보 공유 부탁해용^^",,,,,,yes,,,,,,,,,,,
214,아니 예전에 제가 외국 생활할때 심심하기도 하고 외롭기도 해서 친구 추천으로,,네,좀 많이 충전했느데 ,알고 보니 남성회원은 환불이 안된다고 하더라고요ㅜㅜ,이거 얼만지 아라요?,,,,,,,,yes,,,,,,,,,,,
215,나의 삼촌은 ******의 ********에서 10년의 경력을 갖고 있습니다~^^,우~와~,우리 삼촌이 보기에는 우리가 버는 돈이 아주 적다ㅠㅠㅠ,"저는 그래프를 봐도 몰라 언제 상승할지, 언제하락할지ㅎㅎ",그러니 우리는 삼촌이 준 기회를 더욱 붙잡아야 해~^^,,,,,,,,,yes,,,,,,,,,,,
216,안녕하세요 친구 추가해 주세요 한국에 관심 많아요 연락 기다릴께요....,,,,,,,,,,,,,yes,,,,,,,,,,,
217,나 큰일났다 ...,하 지금 멘탈이나갔어ㅠㅠ,쌩돈 3000만원 버리게생겼어~,어?????,무슨 일이야!?,나전에 프랑스에서 외롭고 심심해서 한국채팅 사이트 가입한거 있는데,어,한화 4000만원정도 충전했었는 방금 확인하니깐 쓰고 남은거 포인트 300만개쯤 남았는데 이거 환전하면 한국돈 3000만원이야,,,,,,yes,,,,,,,,,,,
218,나는 그들이 매우 열심히 일했다고 생각한다. 나는 그들을 매우 존경한다.,아버지는 선생님이시고 어머니는 병원에 다니셨다. 그들은 둘 다 내가 교육을 잘 받을 수 있도록 열심히 일한다.,내 아버지는 친구의 결혼기념일을 마치고 돌아오는 길에 교통사고로 돌아가셨다.,,,,,,,,,,,yes,,,,,,,,,,,
219,저는 미국 시카고에서 온 @@@@입니다. 현재 시리아 다마스쿠수에 1년 동안 살고 있습니다.,@,당신은 어느 도시에서 왔습니까,@@@@@,"우와. 음, 저도 그렇게 생각했어요. 제 아버지는 다마스쿠스 시리아 출신이고 어머니는 한국 출신이지만, 저는 불과 10살 때 집 화재로 부모님을 잃었고, 그 사건이 일어난 순간, 저느 ㄴ형제나 친척이 없고, 그래서 더 강한 군인으로 자랐습니다.",,,,,,,,,yes,,,,,,,,,,,
220,보내 주시면 전표 또는 지불 전표를 보내주십시오. 관리자가 오후에 알맞은 시간에 외교관을 보내기로 동의하기 전에 매니저에게 요청할 것입니다.,움직일수없어니너가사람보내,다른사람못믿어,내 사랑은 나를 믿는다. 문제는 단지 10.000.000이다. 한국은 나를 믿는,,,,,,,,,,yes,,,,,,,,,,,
221,"오빠, 지금 총자산이 약 6억 5000만 원 정도 되세요. ","네가 대출금을 상환한 후에, 너는 언제든지 이 돈을 찾을 수 있다.",내가 더 많이 벌었기 때문에 기억이 안 나,네? 왜 그런 생각을 했죠?,"나는 이미 이렇게 오래 했으니, 나는 이것에 대해 잘 안다.","만약 제가 이것에 자신이 없다면, 저는 당신에게 시키지 않을 것입니다.",,,,,,,,yes,,,,,,,,,,,
222,[국외발신] 저 18살 댄스연습생 박하은이에요 12만 원이면 데이트 한번 할수 있어요,,,,,,,,,,,,,yes,,,,,,,,,,,
223,안녕하세요! 어떻게 친구 추천 목록에 있나요?,왜 메시지를 안 봤어? 핸드폰이 녹았어?,"읽고 답하지 않는 게 예의가 없긴 하지만, 에이미는 그래도 너의 즐거운 금요일을 바래!",읽고 답하지 않아도 불편하지 않아. 그래도 에이미는 토요일 행복하게 보내길 바래!,,,,,,,,,,yes,,,,,,,,,,,
224,[국외발신] 제가 한국으로 여행을 가는데 제 친구가 가이드 해줄 수 있다고 하는데 맞나요? 내꺼: LINE:txx1688,,,,,,,,,,,,,yes,,,,,,,,,,,
225,"[국외발신] 저는 22세, 키 165cm, 36D입니다. [열정 8시간] 내 사진 좀 보세요. +LINE: ID:",,,,,,,,,,,,,yes,,,,,,,,,,,
226,Hello beautiful,How are you doing,you are so beautiful,whrere are you from,,,,,,,,,,yes,,,,,,,,,,,
227,연락드리게 되어 반갑습니다~~ 서로의 게시물을 공유할 수 있는^^,,,,,,,,,,,,,yes,,,,,,,,,,,
228,[국외발신] 오빠 1박은 아무 제한 없이 8만원이면 돼요 제 LINE(    )제 사진을 볼 수 있어,,,,,,,,,,,,,yes,,,,,,,,,,,
229,[국제발신] 5월 25일 한국 도착 예정입니다. 그 시간 공항에서 만나주실 수 있나요? 새 LINE: wm9088,,,,,,,,,,,,,yes,,,,,,,,,,,
230,안녕하세요~ 맞팔 고마워용~!!,반갑습니다,반가워요!!ㅎㅎ @@@이라고 해요~,저 외국 오래살아 금방 한국에 왔거든요!!~ 친하게 지내요ㅎㅎㅎㅎ,,,,,,,,,,yes,,,,,,,,,,,
231,안녕하세요,누구세요?,만나서 반가워요,내 이름은 킴 가드너입니다.,이름 뭐에요,최민수입니다,당신은 훌륭한 이름을 가지고 있습니다,어디서 오셨나요,부산에서 왔습니,,,,,yes,,,,,,,,,,,
232,하지만 너는 보내줬다,알았어 용서할게 내 사랑,나를 사랑하기 때문에,"그래, 난 당신을 사랑합니다",섹스 잘하나요?,"내 사랑, 내가 사직할 수 있도록 지금 Google Play 카드를 주세요",내가 돌아오면 걱정하지 마세요.,지금 사장들과 미팅이 있다,미팅을 가야한다,나를 기다려달,,,,yes,,,,,,,,,,,
233,Whatsapp 또는 행 아웃,우리는 거기에서 더 이야기 할 수 있습니다,Whatsapp이 무엇인지 잘 모릅니다,나는 항상 Instagram을 사용하여 메시징을 사용하지 않습니다.,아 그렇군요!,그럼 무슨 메시징을 사용하나요??,행 아웃을 다운로드하여 좋은 대화를 나누세요,,,,,,,yes,,,,,,,,,,,
234,오빠 나 숫자게임 같은 거 하는데 같이 할래?,어어 뭔데 재미썽? ㅋㅋ,엉ㅋㅋㅋ 이사이트로 들어와봐,,,,,,,,,,,yes,,,,,,,,,,,
